model,num_queries,R@1_percent,R@5_percent,SDM@1_percent,mean_error_m,std_error_m,median_p50_m,median_p50_ci95_low,median_p50_ci95_high,p75_m,p90_m,p90_ci95_low,p90_ci95_high,p95_m,p95_ci95_low,p95_ci95_high,p99_m,max_error_m,GFR@50_percent,GFR@50_ci95_low,GFR@50_ci95_high,GFR@100_percent,GFR@100_ci95_low,GFR@100_ci95_high,GFR@200_percent,GFR@500_percent,GFR@1000_percent,catastrophic_drift_gt1000m_count,catastrophic_drift_gt1000m_percent
Baseline,2331,19.26,38.1,23.53,1390.5,1615.83,751.1,634.7,912.49,2589.17,3989.39,3903.71,4048.73,4757.74,4596.17,4857.39,5214.73,5431.61,67.7,65.77,69.56,63.02,61.04,64.96,57.44,54.14,46.42,1082,46.42
FSRA,2331,64.48,82.58,68.51,396.16,1083.03,0.0,0.0,0.0,40.02,1446.26,1273.73,1691.92,3557.24,3080.22,3789.77,5102.0,5375.08,22.48,20.83,24.22,19.05,17.5,20.69,15.83,14.5,12.66,295,12.66
ResNet50,2331,41.36,63.53,48.33,657.35,1208.31,20.07,19.97,20.27,935.93,2351.4,2187.26,2657.44,3756.63,3437.63,3883.49,5128.72,5375.86,37.02,35.09,39.0,33.5,31.62,35.45,30.63,28.01,24.45,570,24.45
LPN,2331,67.22,84.64,71.04,358.92,1013.99,0.0,0.0,0.0,27.31,1318.72,1156.23,1467.37,3220.78,2698.26,3606.86,4886.05,5414.59,20.51,18.92,22.19,17.12,15.64,18.7,14.63,13.86,11.67,272,11.67
